merchant,public_category,root,mid_level,leaf
Ricoh,Office Equipment,Expense,Shopping,Electronics
Ricoh Theta,360° Camera,Expense,Shopping,Electronics
Right-on,Casual Fashion (Japan),Expense,Shopping,Clothing & Apparel
Ring,Smart Home Security,Expense,Shopping,Electronics
Ring Alarm,Smart Security (Amazon),Expense,Housing & Utilities,Home Services
Riot Games,Game Developer,Expense,Entertainment,Gaming
Rita's Italian Ice,Italian Ice & Frozen Custard,Expense,Food & Dining,Ice Cream & Yogurt
Rite Aid,Pharmacy & Drugstore Chain,Expense,Health & Wellness,Pharmacy
Ritual,Subscription Vitamins,Expense,Health & Wellness,Health Products
Ritual Coffee,Specialty Coffee (SF),Expense,Food & Dining,Coffee & Tea
Ritual Coffee Roasters,Specialty Coffee (SF),Expense,Food & Dining,Coffee & Tea
Rituals,Home & Body (Netherlands),Expense,Health & Wellness,Beauty & Spa
River Island,Fashion Retailer (UK),Expense,Shopping,Clothing & Apparel
Ro,Telehealth Platform,Expense,Health & Wellness,Health Products
Roadhouse Grill,Steakhouse (Italy),Expense,Food & Dining,Restaurants
Roam Research,Networked Note-Taking,Expense,Technology,Software & SaaS
Robeks,Smoothie & Juice,Expense,Food & Dining,Snacks & Drinks
Robert's Coffee,Coffee Chain (Finland),Expense,Food & Dining,Coffee & Tea
Roberta's,Pizza (Brooklyn),Expense,Food & Dining,Restaurants
Robinhood,Food Delivery (Thailand),Expense,Food & Dining,Food Delivery
Roblox,Gaming Platform,Expense,Entertainment,Gaming
Roblox Corporation,Gaming Platform,Expense,Entertainment,Gaming
Roborock,Robot Vacuum,Expense,Housing & Utilities,Home Services
Rocco Forte,Luxury Hotel (UK),Expense,Travel,Hotels & Lodging
Rockstar Games,Game Developer (GTA/RDR),Expense,Entertainment,Gaming
Rocky Mountain Chocolate,Chocolate & Fudge,Expense,Food & Dining,Snacks & Drinks
Rode,Microphones (Australia),Expense,Shopping,Electronics
Rodeway Inn,Budget Hotel,Expense,Travel,Hotels & Lodging
Rodízio,Brazilian BBQ,Expense,Food & Dining,Restaurants
Rodízio Grill,Brazilian Steakhouse,Expense,Food & Dining,Restaurants
Rogue Fitness,CrossFit & Weightlifting Equipment,Expense,Shopping,Sporting Goods
Roku Channel,Free Streaming,Expense,Entertainment,Streaming Video
Roku TV,Smart TV Platform,Expense,Shopping,Electronics
Rolex,Luxury Watch Manufacturer,Expense,Shopping,Clothing & Apparel
Roll'd,Vietnamese (Australia),Expense,Food & Dining,Restaurants
Roman's Pizza,Pizza (South Africa),Expense,Food & Dining,Restaurants
Ronald McDonald House,Family Charity,Expense,Donations & Gifts,Charity & Donations
Roni's Bakery,Challah Bakery (London),Expense,Food & Dining,Bakery & Desserts
Room & Board,American-Made Furniture,Expense,Shopping,Home & Garden
Room to Read,Children's Literacy,Expense,Donations & Gifts,Charity & Donations
Rooms To Go,Furniture Retailer,Expense,Shopping,Home & Garden
Root Insurance,Digital Auto Insurance,Expense,Housing & Utilities,Utilities
Rosa's Thai Cafe,Thai Restaurant (UK),Expense,Food & Dining,Restaurants
Rosetta Stone,Language Learning,Expense,Education,Online Learning
Rosewood Hotels,Ultra-Luxury Hotel,Expense,Travel,Hotels & Lodging
Rosneft,Gas Station (Russia),Expense,Transportation,Gas & Fuel
Ross Dress for Less,Off-Price Department Store,Expense,Shopping,General Retail
Rosslyn Coffee,Specialty Coffee (London),Expense,Food & Dining,Coffee & Tea
Rossmann,Drugstore (Germany),Expense,Health & Wellness,Pharmacy
Rossopomodoro,Italian Pizza Chain,Expense,Food & Dining,Restaurants
Rothy's,Sustainable Footwear DTC,Expense,Shopping,Clothing & Apparel
Roti Mediterranean,Mediterranean,Expense,Food & Dining,Restaurants
Roti Modern Mediterranean,Mediterranean,Expense,Food & Dining,Fast Food
Roto-Rooter,Plumbing & Drain,Expense,Housing & Utilities,Utilities
Round Table Pizza,Pizza Chain,Expense,Food & Dining,Fast Food
Round1,Arcade & Entertainment (Japan),Expense,Entertainment,Amusement & Parks
Route Inn,Business Hotel (Japan),Expense,Travel,Hotels & Lodging
Rover,Pet Sitting & Walking App,Expense,Shopping,Pet Supplies
Row House,Rowing Fitness Studio,Expense,Entertainment,Sports & Recreation
Royal Air Maroc,Airline (Morocco),Expense,Travel,Airlines
Royal Canin,Premium Pet Food,Expense,Shopping,Pet Supplies
Royal Farms,Convenience Store & Fried Chicken,Expense,Food & Dining,Groceries
Royal Farms Gas,Convenience Store Gas,Expense,Transportation,Gas & Fuel
Royal India,Indian Restaurant,Expense,Food & Dining,Restaurants
Royal Robbins,Travel & Outdoor Apparel,Expense,Shopping,Sporting Goods
Royce' Chocolate,Japanese Chocolate,Expense,Food & Dining,Snacks & Drinks
RTD,Denver Transit,Expense,Transportation,Public Transit
RTIC Outdoors,Coolers & Drinkware,Expense,Shopping,Sporting Goods
Rubio's,Coastal Mexican,Expense,Food & Dining,Fast Food
Rubio's Coastal Grill,Fast Casual Seafood/Mexican,Expense,Food & Dining,Fast Food
Ruby Tuesday,Casual Dining Restaurant,Expense,Food & Dining,Restaurants
Rumble Boxing,Boxing Fitness Studio,Expense,Entertainment,Sports & Recreation
Runner & Stone,Bakery & Restaurant (Brooklyn),Expense,Food & Dining,Bakery & Desserts
Rush Hair,Hair Salon (UK),Expense,Health & Wellness,Beauty & Spa
Russ & Daughters,Jewish Appetizing (NYC),Expense,Food & Dining,Bakery & Desserts
Ruth's Chris,Fine Dining Steakhouse,Expense,Food & Dining,Restaurants
Ruth's Chris Steak House,Fine Dining Steakhouse,Expense,Food & Dining,Restaurants
Rutters,Convenience Store & Gas,Expense,Food & Dining,Groceries
RxSaver,Prescription Discount,Expense,Health & Wellness,Pharmacy
Ryan's,Buffet Restaurant,Expense,Food & Dining,Restaurants
Ryanair,Ultra-Low-Cost (Ireland),Expense,Travel,Airlines
Ryman,Stationery & Office (UK),Expense,Shopping,Office Supplies
S'well,Insulated Water Bottles,Expense,Shopping,Sporting Goods
S-Oil,Gas Station (Korea),Expense,Transportation,Gas & Fuel
s.Oliver,Fashion Brand (Germany),Expense,Shopping,Clothing & Apparel
Sacai,Japanese Designer Fashion,Expense,Shopping,Clothing & Apparel
Safaricom,Telecom (Kenya),Expense,Housing & Utilities,Utilities
Safelite AutoGlass,Auto Glass Repair,Expense,Transportation,Car Service & Parts
Safeway,Supermarket,Expense,Food & Dining,Groceries
Safeway Fuel,Grocery Store Gas,Expense,Transportation,Gas & Fuel
Sagar Ratna,South Indian Restaurant,Expense,Food & Dining,Restaurants
Sailor,Fountain Pens (Japan),Expense,Shopping,Office Supplies
Sainsbury's,Supermarket Chain,Expense,Food & Dining,Groceries
Saint Laurent,Luxury Fashion (France),Expense,Shopping,Clothing & Apparel
Saizeriya,Italian Chain (Japan),Expense,Food & Dining,Restaurants
Sakara Life,Plant-Based Meals,Expense,Food & Dining,Restaurants
Saks Fifth Avenue,Luxury Department Store,Expense,Shopping,General Retail
Saks Off 5th,Off-Price Luxury,Expense,Shopping,General Retail
Saladworks,Salad Restaurant Chain,Expense,Food & Dining,Restaurants
Salesforce,CRM Platform,Expense,Technology,Software & SaaS
Sally's Apizza,New Haven Pizza,Expense,Food & Dining,Restaurants
Salomon,Outdoor Footwear & Gear,Expense,Shopping,Clothing & Apparel
Salt & Straw,Artisan Ice Cream,Expense,Food & Dining,Ice Cream & Yogurt
Salvation Army,Charitable Organization,Expense,Donations & Gifts,Charity & Donations
Salvatore Ferragamo,Luxury Fashion (Italy),Expense,Shopping,Clothing & Apparel
Sam's Club,Wholesale Club,Expense,Food & Dining,Groceries
Sam's Club Fuel,Wholesale Club Gas,Expense,Transportation,Gas & Fuel
Sam's Club Membership,Warehouse Club Membership,Expense,Food & Dining,Restaurants
Samgyeopsal Matjip,Korean BBQ,Expense,Food & Dining,Restaurants
Samsung,Electronics Conglomerate,Expense,Shopping,Electronics
Samsung Galaxy Buds,Wireless Earbuds,Expense,Shopping,Electronics
Samsung Galaxy Watch,Smartwatch,Expense,Shopping,Clothing & Apparel
Samsung Health,Health & Fitness,Expense,Entertainment,Sports & Recreation
Samsøe Samsøe,Fashion (Denmark),Expense,Shopping,Clothing & Apparel
San Diego Zoo,Zoo,Expense,Entertainment,Amusement & Parks
Sanborns,Restaurant & Retail (Mexico),Expense,Food & Dining,Restaurants
SanDisk,Flash Storage,Expense,Shopping,Electronics
Sandro,French Contemporary Fashion,Expense,Shopping,Clothing & Apparel
Santa Monica Studio,Game Developer (GoW),Expense,Entertainment,Gaming
Santander,Bank (Spain/Global),Expense,Financial Services,Banking Fees
Santander Cycles,Bike Share (London),Expense,Transportation,Rideshare
Saravana Bhavan,South Indian Vegetarian,Expense,Food & Dining,Restaurants
Sarku Japan,Fast Food Japanese,Expense,Food & Dining,Fast Food
SAS,Airline (Scandinavia),Expense,Travel,Airlines
Sasol,Gas Station (South Africa),Expense,Transportation,Gas & Fuel
Satan's Coffee Corner,Coffee (Barcelona),Expense,Food & Dining,Coffee & Tea
Satechi,USB-C Accessories,Expense,Shopping,Electronics
Satisfy Running,Premium Running (France),Expense,Shopping,Sporting Goods
Saturn,Electronics Retailer (Germany),Expense,Shopping,Electronics
Saucony,Running Footwear,Expense,Shopping,Clothing & Apparel
Saudi Aramco,Gas Station (Saudi),Expense,Transportation,Gas & Fuel
Saudia,Airline (Saudi Arabia),Expense,Travel,Airlines
Sausalitos,Mexican Restaurant (Germany),Expense,Food & Dining,Restaurants
Savage X Fenty,Lingerie (Inclusive),Expense,Shopping,Clothing & Apparel
Save Mart,Supermarket,Expense,Food & Dining,Groceries
Save-A-Lot,Discount Grocery,Expense,Food & Dining,Groceries
Sawada Coffee,Specialty Coffee (Chicago),Expense,Food & Dining,Coffee & Tea
Sbarro,Pizza Chain,Expense,Food & Dining,Fast Food
Scandic Hotels,Hotel Chain (Scandinavia),Expense,Travel,Hotels & Lodging
Scarpa,Mountain Footwear (Italy),Expense,Shopping,Sporting Goods
Scheels,Sporting Goods,Expense,Shopping,Sporting Goods
Schleich,Toy Animal Figures (Germany),Expense,Kids & Family,Toys & Activities
Schlitterbahn,Water Park,Expense,Entertainment,Amusement & Parks
Schlotzsky's,Fast Casual Sandwich,Expense,Food & Dining,Fast Food
Schnucks,Supermarket,Expense,Food & Dining,Groceries
Scholastic,Children's Publisher,Expense,Education,Online Learning
School of Rock,Music Education,Expense,Education,Online Learning
Schwab,Investment & Brokerage,Expense,Financial Services,Banking Fees
Schweinske,Restaurant Chain (Germany),Expense,Food & Dining,Restaurants
Scooter's Coffee,Drive-Through Coffee,Expense,Food & Dining,Coffee & Tea
Scotts Miracle-Gro,Lawn & Garden Products,Expense,Shopping,Home & Garden
Screwfix,Trade Supplies (UK),Expense,Shopping,Home & Garden
Scribd,E-Book & Audiobook Subscription,Expense,Shopping,Books & Media
Scrivener,Long-Form Writing Software,Expense,Technology,Software & SaaS
SCUF Gaming,Custom Controllers,Expense,Entertainment,Gaming
Sea to Summit,Travel & Outdoor Gear (AU),Expense,Shopping,Sporting Goods
Seafood City,Filipino Supermarket,Expense,Food & Dining,Groceries
Seagate,Storage Devices,Expense,Shopping,Electronics
Seamless,Food Delivery Platform,Expense,Food & Dining,Food Delivery
Season's 52,Fine Casual Dining,Expense,Food & Dining,Restaurants
Seasons 52,Fine Casual Dining,Expense,Food & Dining,Restaurants
SeatGeek,Event Ticket Marketplace,Expense,Entertainment,Movies & Events
SeaWorld,Marine Theme Park,Expense,Entertainment,Amusement & Parks
Second City,Comedy Theater,Expense,Entertainment,Movies & Events
Second Cup,Coffee Chain (Canada),Expense,Food & Dining,Coffee & Tea
Secret Recipe,Malaysian Restaurant Chain,Expense,Food & Dining,Restaurants
Secretlab,Gaming Chairs,Expense,Entertainment,Gaming
Sedano's,Hispanic Supermarket,Expense,Food & Dining,Groceries
See Tickets,Event Ticketing (UK),Expense,Entertainment,Movies & Events
See's Candies,Chocolate & Candy,Expense,Food & Dining,Snacks & Drinks
Seed,Probiotic Supplement,Expense,Health & Wellness,Health Products
Sega,Game Publisher (Japan),Expense,Entertainment,Gaming
Segafredo,Italian Coffee Chain,Expense,Food & Dining,Coffee & Tea
Segment,Customer Data Platform,Expense,Technology,Software & SaaS
Seiko,Watch Manufacturer (Japan),Expense,Shopping,Clothing & Apparel
Selfridges,Luxury Department Store (UK),Expense,Shopping,General Retail
Selina,Work/Stay Hotel (Global),Expense,Travel,Hotels & Lodging
SendGrid,Email Delivery,Expense,Technology,Software & SaaS
Sennheiser,Audio Equipment (Germany),Expense,Shopping,Electronics
SentinelOne,Endpoint Security,Expense,Technology,Software & SaaS
Seorae,Korean BBQ Chain,Expense,Food & Dining,Restaurants
Seoul Bike (Ddareungi),Bike Share (Korea),Expense,Transportation,Rideshare
Sephora,Beauty & Cosmetics Retailer,Expense,Health & Wellness,Beauty & Spa
SEPTA,Philadelphia Transit,Expense,Transportation,Public Transit
Serie A,Italian Soccer League,Expense,Entertainment,Sports & Recreation
Service King,Auto Body Repair,Expense,Transportation,Car Service & Parts
ServiceMaster,Restoration & Cleaning,Expense,Housing & Utilities,Utilities
Sey Coffee,Specialty Coffee (Brooklyn),Expense,Food & Dining,Coffee & Tea
Sezzle,Buy Now Pay Later,Expense,Financial Services,Banking Fees
SFR,Telecom (France),Expense,Housing & Utilities,Utilities
Shahid,Video Streaming (Middle East),Expense,Entertainment,Streaming Video
Shake Shack,Fast Casual Burger,Expense,Food & Dining,Fast Food
Shanghai Disneyland,Theme Park (China),Expense,Entertainment,Amusement & Parks
Shangri-La,Luxury Hotel,Expense,Travel,Hotels & Lodging
ShareTea,Bubble Tea Chain,Expense,Food & Dining,Coffee & Tea
Shark,Vacuum & Home,Expense,Shopping,Electronics
Sharky's,Mexican Health,Expense,Food & Dining,Restaurants
Shaw Theatres,Movie Theater (Singapore),Expense,Entertainment,Movies & Events
Shaw's,Supermarket,Expense,Food & Dining,Groceries
Shawarma Press,Shawarma Restaurant,Expense,Food & Dining,Restaurants
Shawarmer,Shawarma Chain (Saudi),Expense,Food & Dining,Restaurants
Shedd Aquarium,Aquarium,Expense,Entertainment,Amusement & Parks
Sheetz,Convenience Store & Gas,Expense,Food & Dining,Groceries
Sheetz Gas,Convenience Store Gas,Expense,Transportation,Gas & Fuel
Shein,Fast Fashion E-Commerce,Expense,Shopping,General Retail
Shell,Gas Station,Expense,Transportation,Gas & Fuel
Shelter Insurance,Insurance,Expense,Housing & Utilities,Utilities
Sheng Siong,Supermarket Chain,Expense,Food & Dining,Groceries
Sheraton,Full-Service Hotel,Expense,Travel,Hotels & Lodging
Sherpa Adventure Gear,Outdoor (Nepal),Expense,Shopping,Sporting Goods
Shimamura,Fashion Retailer (Japan),Expense,Shopping,Clothing & Apparel
Shinola Hotel,Boutique (Detroit),Expense,Travel,Hotels & Lodging
Shinsegae,Department Store (Korea),Expense,Shopping,General Retail
Shipley Do-Nuts,Doughnut Chain,Expense,Food & Dining,Bakery & Desserts
Shipt,Grocery Delivery Platform,Expense,Food & Dining,Food Delivery
Shipt Membership,Grocery Delivery Sub,Expense,Food & Dining,Restaurants
Shirokiya,Izakaya Chain (Japan),Expense,Food & Dining,Restaurants
Shiseido,Skincare & Cosmetics (Japan),Expense,Health & Wellness,Beauty & Spa
Shoe Carnival,Footwear Retailer,Expense,Shopping,Clothing & Apparel
Shoney's,Family Dining Restaurant,Expense,Food & Dining,Restaurants
Shopee,Online Marketplace (SE Asia),Expense,Shopping,General Retail
ShopeeFood,Food Delivery (SE Asia),Expense,Food & Dining,Food Delivery
Shopify,E-Commerce Platform,Expense,Technology,Software & SaaS
ShopRite,Supermarket,Expense,Food & Dining,Groceries
Shoprite Holdings,Supermarket Chain,Expense,Food & Dining,Groceries
Showcase Cinemas,Movie Theater,Expense,Entertainment,Movies & Events
Showtime,Premium Cable & Streaming,Expense,Entertainment,Streaming Video
Shriners Children's,Children's Hospital,Expense,Donations & Gifts,Charity & Donations
Shudder,Horror Streaming,Expense,Entertainment,Streaming Video
Shufersal,Supermarket Chain,Expense,Food & Dining,Groceries
Shure,Microphones & Audio,Expense,Shopping,Electronics
Shutterfly,Photo Printing & Gifts,Expense,Shopping,Office Supplies
Sibylla,Fast Food (Sweden),Expense,Food & Dining,Fast Food
Sierra Club,Environmental Organization,Expense,Donations & Gifts,Charity & Donations
Sierra Designs,Outdoor Gear,Expense,Shopping,Sporting Goods
Sightglass Coffee,Specialty Coffee (SF),Expense,Food & Dining,Coffee & Tea
Signia by Hilton,Premium Meeting Hotel,Expense,Travel,Hotels & Lodging
Silhouette,Craft Cutting Machine,Expense,Shopping,Electronics
Silver Dollar City,Theme Park,Expense,Entertainment,Amusement & Parks
Silverlake Ramen,Ramen Restaurant,Expense,Food & Dining,Restaurants
SimpliSafe,Home Security System,Expense,Shopping,Electronics
Simply Piano,Piano Learning App,Expense,Education,Online Learning
Sinclair,Gas Station,Expense,Transportation,Gas & Fuel
Singapore Airlines,Major Airline,Expense,Travel,Airlines
Singapore Zoo,Zoo,Expense,Entertainment,Amusement & Parks
Single O,Specialty Coffee (Sydney),Expense,Food & Dining,Coffee & Tea
SingleCare,Prescription Discount,Expense,Financial Services,Banking Fees
Singtel,Telecom (Singapore),Expense,Housing & Utilities,Utilities
Sinopec,Gas Station (China),Expense,Transportation,Gas & Fuel
Six Flags,Amusement Park Chain,Expense,Entertainment,Amusement & Parks
Six Senses,Luxury Wellness Resort,Expense,Travel,Hotels & Lodging
Sixt,Car Rental (Germany/Global),Expense,Travel,Hotels & Lodging
Sizzler,Casual Dining Steakhouse,Expense,Food & Dining,Restaurants
SJW Group,Water Utility,Expense,Housing & Utilities,Utilities
SK Energy,Gas Station (Korea),Expense,Transportation,Gas & Fuel
SK Telecom,Mobile (Korea),Expense,Housing & Utilities,Utilities
SK-II,Premium Skincare (Japan),Expense,Health & Wellness,Beauty & Spa
Skechers,Casual & Athletic Footwear,Expense,Shopping,Clothing & Apparel
Sketch,UI Design Tool (Mac),Expense,Technology,Software & SaaS
Skillshare,Creative Online Learning,Expense,Education,Online Learning
Skims,Shapewear & Loungewear,Expense,Shopping,Clothing & Apparel
SkinLaundry,Laser & Light Facial,Expense,Health & Wellness,Beauty & Spa
Skip The Dishes,Food Delivery (Canada),Expense,Food & Dining,Food Delivery
Sky UK,TV & Broadband (UK),Expense,Housing & Utilities,Utilities
Sky Zone,Trampoline Park,Expense,Entertainment,Amusement & Parks
Slack,Team Messaging,Expense,Technology,Software & SaaS
Sleep Inn,Budget Hotel,Expense,Travel,Hotels & Lodging
Sleep Number,Adjustable Mattress,Expense,Shopping,Home & Garden
Sleepy Owl,Coffee Brand (India),Expense,Food & Dining,Coffee & Tea
Slim Chickens,Fast Casual Chicken,Expense,Food & Dining,Fast Food
Sling TV,Live TV Streaming,Expense,Entertainment,Streaming Video
Slumberland,Furniture Retailer,Expense,Shopping,Home & Garden
Smart & Final,Warehouse Grocery,Expense,Food & Dining,Groceries
SmarTrip,DC Metro Card,Expense,Transportation,Public Transit
SmartStyle,Hair Salon (Walmart),Expense,Health & Wellness,Beauty & Spa
Smartwool,Merino Wool Apparel,Expense,Shopping,Sporting Goods
Smashburger,Fast Casual Burger,Expense,Food & Dining,Fast Food
SmileDirectClub,Clear Aligners,Expense,Health & Wellness,Health Products
Smith & Wollensky,Classic Steakhouse,Expense,Food & Dining,Restaurants
Smithsonian,Museum Complex,Expense,Entertainment,Movies & Events
Smoothie King,Smoothie Chain,Expense,Food & Dining,Snacks & Drinks
Snap Fitness,24-Hour Gym Franchise,Expense,Entertainment,Sports & Recreation
Snap Kitchen,Prepared Meals,Expense,Food & Dining,Restaurants
Snapdeal,Online Marketplace (India),Expense,Shopping,General Retail
Snapology,LEGO STEM Education,Expense,Education,Online Learning
Snoo,Smart Bassinet (Happiest Baby),Expense,Kids & Family,Toys & Activities
Snooze an A.M. Eatery,Breakfast & Brunch,Expense,Food & Dining,Restaurants
Snooze Morning Eatery,Breakfast & Brunch,Expense,Food & Dining,Restaurants
Snow Factory,Shaved Snow (Asia),Expense,Food & Dining,Ice Cream & Yogurt
Snow Peak,Outdoor & Camping (Japan),Expense,Shopping,Sporting Goods
Snowbird Gelato,Gelato Chain,Expense,Food & Dining,Ice Cream & Yogurt
SoCal Edison,Electric Utility,Expense,Housing & Utilities,Utilities
Social Security,Government Benefit,Income,Transfers,Deposit
SoFi,Online Banking & Lending,Expense,Financial Services,Banking Fees
Sofitel,Luxury Hotel (Accor),Expense,Travel,Hotels & Lodging
SoftBank Mobile,Mobile (Japan),Expense,Housing & Utilities,Utilities
Softree,Soft Serve (Korea),Expense,Food & Dining,Ice Cream & Yogurt
Sogo,Department Store (Japan/Asia),Expense,Shopping,General Retail
Soho House,Members Club & Hotel,Expense,Travel,Hotels & Lodging
Soma,Intimates & Sleepwear,Expense,Shopping,Clothing & Apparel
Sonder,Tech-Enabled Short Stay,Expense,Travel,Hotels & Lodging
Sonic Drive-In,Fast Food Drive-In,Expense,Food & Dining,Fast Food
Sonos,Wireless Speakers & Audio,Expense,Shopping,Electronics
Sony,Electronics & Entertainment,Expense,Shopping,Electronics
Sony Alpha,Camera & Imaging,Expense,Shopping,Electronics
Sony Interactive,Game Company,Expense,Entertainment,Gaming
SonyLIV,Video Streaming (India),Expense,Entertainment,Streaming Video
Sophos,Cybersecurity (UK),Expense,Technology,Software & SaaS
Soriana,Hypermarket Chain,Expense,Food & Dining,Groceries
Soul Origin,Coffee & Food (Australia),Expense,Food & Dining,Coffee & Tea
SoulCycle,Cycling Studio,Expense,Entertainment,Sports & Recreation
SoulCycle At-Home,Connected Bike,Expense,Entertainment,Sports & Recreation
SoundCloud,Music Streaming & Sharing,Expense,Shopping,Books & Media
SoundCloud Go,Music Streaming,Expense,Entertainment,Sports & Recreation
Souq.com,E-Commerce (Middle East),Expense,Shopping,General Retail
South African Airways,Airline,Expense,Travel,Airlines
Southern Company,Electric Utility,Expense,Housing & Utilities,Utilities
Southwest Airlines,Low-Cost Airline,Expense,Travel,Airlines
Southwest Gas,Natural Gas Utility,Expense,Housing & Utilities,Utilities
Spanx,Shapewear,Expense,Shopping,Clothing & Apparel
Spao,Fast Fashion (Korea),Expense,Shopping,Clothing & Apparel
Spar,Supermarket Chain,Expense,Food & Dining,Groceries
Spar South Africa,Supermarket Chain,Expense,Food & Dining,Groceries
Spar UK,Convenience Store,Expense,Food & Dining,Groceries
SpartanNash,Supermarket,Expense,Food & Dining,Groceries
Speck,Phone Cases,Expense,Shopping,Electronics
Speedway,Gas & Convenience,Expense,Transportation,Gas & Fuel
Spencer's,Supermarket Chain,Expense,Food & Dining,Groceries
SpiceJet,Low-Cost Airline (India),Expense,Travel,Airlines
Spin,Scooter & Bike Share,Expense,Transportation,Rideshare
Spinneys,Premium Supermarket,Expense,Food & Dining,Groceries
Spinx,Convenience Store & Gas,Expense,Food & Dining,Groceries
Spire,Natural Gas Utility,Expense,Housing & Utilities,Utilities
Spirit Airlines,Ultra-Low-Cost Airline,Expense,Travel,Airlines
Splash Car Wash,Car Wash,Expense,Transportation,Car Service & Parts
Splish Splash,Water Park,Expense,Entertainment,Amusement & Parks
Spoleto,Italian Fast Casual (Brazil),Expense,Food & Dining,Restaurants
Spontini,Pizza Chain (Milan),Expense,Food & Dining,Restaurants
Sport Chek,Sporting Goods (Canada),Expense,Shopping,Sporting Goods
Sport Clips,Men's Hair Salon Chain,Expense,Health & Wellness,Beauty & Spa
Sports Direct,Discount Sports (UK),Expense,Shopping,Sporting Goods
Spot & Tango,Fresh Dog Food,Expense,Shopping,Pet Supplies
Spotify,Music Streaming,Expense,Shopping,Books & Media
Spotify Premium,Music Subscription,Expense,Food & Dining,Restaurants
SpringHill Suites,All-Suite Hotel,Expense,Travel,Hotels & Lodging
Sprinkles Cupcakes,Cupcake Bakery,Expense,Food & Dining,Bakery & Desserts
Sprouts,Natural & Organic Grocery,Expense,Food & Dining,Groceries
Sprouts Farmers Market,Natural & Organic Grocery,Expense,Food & Dining,Groceries
Spur Steak Ranches,Family Steakhouse (South Africa),Expense,Food & Dining,Restaurants
Square,Payment & POS,Expense,Technology,Software & SaaS
Square Enix,Game Publisher (Japan),Expense,Entertainment,Gaming
Square Mile Coffee,Specialty Roaster (London),Expense,Food & Dining,Coffee & Tea
Squarespace,Website Builder,Expense,Technology,Software & SaaS
St-Hubert,Rotisserie (Canada),Expense,Food & Dining,Restaurants
St-Viateur Bagel,Montreal Bagel Shop,Expense,Food & Dining,Bakery & Desserts
St. Jude Children's,Children's Hospital,Expense,Donations & Gifts,Charity & Donations
St. Marc Café,Coffee Chain (Japan),Expense,Food & Dining,Coffee & Tea
St. Regis,Ultra-Luxury Hotel,Expense,Travel,Hotels & Lodging
Stability AI,AI Image Generation,Expense,Technology,Software & SaaS
Stadia,Cloud Gaming (Google),Expense,Entertainment,Gaming
Stadium,Sporting Goods (Sweden),Expense,Shopping,Sporting Goods
Stadium Goods,Sneaker Resale,Expense,Shopping,Clothing & Apparel
Stan,Video Streaming (Australia),Expense,Entertainment,Streaming Video
Standard Hotels,Lifestyle Hotel,Expense,Travel,Hotels & Lodging
Stanley Steemer,Carpet Cleaning,Expense,Housing & Utilities,Utilities
Staples,Office Supply Retailer,Expense,Shopping,Office Supplies
Staples Print,Business Printing,Expense,Shopping,Office Supplies
Star Bazaar,Hypermarket,Expense,Food & Dining,Groceries
Star Gas,Gas Station (EU),Expense,Transportation,Gas & Fuel
Star Market,Supermarket,Expense,Food & Dining,Groceries
Starbucks,Coffee Shop Chain,Expense,Food & Dining,Coffee & Tea
Starling Bank,Digital Bank (UK),Expense,Financial Services,Banking Fees
Starlink,Satellite Internet,Expense,Housing & Utilities,Utilities
Starter,Sports Apparel,Expense,Shopping,Clothing & Apparel
Starz,Premium Cable & Streaming,Expense,Entertainment,Streaming Video
Stash,Investing App,Expense,Financial Services,Banking Fees
State Farm,Auto & Home Insurance,Expense,Housing & Utilities,Utilities
Stater Bros,Supermarket,Expense,Food & Dining,Groceries
Staub,Premium Cookware (French),Expense,Shopping,Home & Garden
Stay Alfred,Vacation Rental,Expense,Travel,Hotels & Lodging
Staybridge Suites,Extended Stay,Expense,Travel,Hotels & Lodging
Steak 'n Shake,Fast Food Steakburger,Expense,Food & Dining,Fast Food
Steak Escape,Cheesesteak Fast Food,Expense,Food & Dining,Fast Food
Steam,PC Game Platform,Expense,Entertainment,Gaming
Steelcase,Office Furniture,Expense,Shopping,Home & Garden
SteelSeries,Gaming Peripherals,Expense,Shopping,Electronics
Steers,Fast Food Burger (South Africa),Expense,Food & Dining,Fast Food
Stella & Chewy's,Raw & Natural Pet Food,Expense,Shopping,Pet Supplies
Stella McCartney,Luxury Fashion (UK),Expense,Shopping,Clothing & Apparel
Step2,Children's Outdoor Play,Expense,Kids & Family,Toys & Activities
Steve Madden,Fashion Footwear,Expense,Shopping,Clothing & Apparel
Stew Leonard's,Fresh Food Market,Expense,Food & Dining,Groceries
Stewart's Shops,Convenience Store,Expense,Food & Dining,Groceries
Stitch Fix,Styling Service & Fashion,Expense,Shopping,Clothing & Apparel
Stitcher,Podcast Platform,Expense,Entertainment,Sports & Recreation
STK,Modern Steakhouse,Expense,Food & Dining,Restaurants
StockX,Sneaker & Streetwear Marketplace,Expense,Shopping,General Retail
Stop & Shop,Supermarket,Expense,Food & Dining,Groceries
Storables,Organization Retailer,Expense,Shopping,Home & Garden
Strada,Italian Restaurant (UK),Expense,Food & Dining,Restaurants
Stradivarius,Women's Fashion (Inditex),Expense,Shopping,Clothing & Apparel
Straight Talk,Prepaid Wireless,Expense,Housing & Utilities,Utilities
Straub's Fine Grocers,Premium Grocery (MO),Expense,Food & Dining,Groceries
Strava,Running & Cycling App,Expense,Entertainment,Sports & Recreation
Stripe,Payment Processing,Expense,Technology,Software & SaaS
