public_category,root,mid_level,leaf
Massage & Spa Chain,Expense,Health & Wellness,Beauty & Spa
Massage & Spa Franchise,Expense,Health & Wellness,Beauty & Spa
Medical Aesthetics,Expense,Health & Wellness,Beauty & Spa
Men's Grooming,Expense,Health & Wellness,Beauty & Spa
Men's Grooming DTC,Expense,Health & Wellness,Beauty & Spa
Men's Grooming Subscription,Expense,Health & Wellness,Beauty & Spa
Men's Hair Salon Chain,Expense,Health & Wellness,Beauty & Spa
Men's Health & Wellness,Expense,Health & Wellness,Beauty & Spa
Natural Beauty & Body,Expense,Health & Wellness,Beauty & Spa
Natural Beauty (French),Expense,Health & Wellness,Beauty & Spa
Natural Beauty (Korea),Expense,Health & Wellness,Beauty & Spa
Niche Fragrance,Expense,Health & Wellness,Beauty & Spa
Premium Skincare,Expense,Health & Wellness,Beauty & Spa
Premium Skincare & Body (AU),Expense,Health & Wellness,Beauty & Spa
Premium Skincare (Japan),Expense,Health & Wellness,Beauty & Spa
Prestige Beauty,Expense,Health & Wellness,Beauty & Spa
Prestige Beauty (French),Expense,Health & Wellness,Beauty & Spa
Prestige Cosmetics,Expense,Health & Wellness,Beauty & Spa
Prestige Skincare,Expense,Health & Wellness,Beauty & Spa
Skincare & Cosmetics (Japan),Expense,Health & Wellness,Beauty & Spa
Skincare & Suncare,Expense,Health & Wellness,Beauty & Spa
Spa & Fitness,Expense,Health & Wellness,Beauty & Spa
Therapeutic Massage,Expense,Health & Wellness,Beauty & Spa
Ultra-Luxury Skincare,Expense,Health & Wellness,Beauty & Spa
Waxing Salon,Expense,Health & Wellness,Beauty & Spa
Community Fitness & Recreation,Expense,Health & Wellness,Fitness & Gym
Connected Fitness Equipment,Expense,Health & Wellness,Fitness & Gym
Dance Fitness Studio,Expense,Health & Wellness,Fitness & Gym
Gym & Fitness Club,Expense,Health & Wellness,Fitness & Gym
Home Fitness Program,Expense,Health & Wellness,Fitness & Gym
Yoga & Wellness Studio,Expense,Health & Wellness,Fitness & Gym
Budget Eyeglasses Online,Expense,Health & Wellness,Health Products
Clear Aligners,Expense,Health & Wellness,Health Products
Consumer DNA Testing,Expense,Health & Wellness,Health Products
Contact Lens Retailer,Expense,Health & Wellness,Health Products
Continuous Glucose Monitor,Expense,Health & Wellness,Health Products
Custom Skincare (Prescription),Expense,Health & Wellness,Health Products
Electric Toothbrush,Expense,Health & Wellness,Health Products
Electric Toothbrush Subscription,Expense,Health & Wellness,Health Products
Fitness Tracker Band,Expense,Health & Wellness,Health Products
Greens Supplement,Expense,Health & Wellness,Health Products
Gummy Vitamins,Expense,Health & Wellness,Health Products
Hair Growth Supplement,Expense,Health & Wellness,Health Products
Hair Loss Treatment,Expense,Health & Wellness,Health Products
Hair Vitamins,Expense,Health & Wellness,Health Products
Health & Wellness Coaching,Expense,Health & Wellness,Health Products
Health & Wellness MLM,Expense,Health & Wellness,Health Products
Health Monitoring Devices,Expense,Health & Wellness,Health Products
Meal Delivery (Weight Loss),Expense,Health & Wellness,Health Products
Meditation & Sleep App,Expense,Health & Wellness,Health Products
Meditation App,Expense,Health & Wellness,Health Products
Natural Supplements,Expense,Health & Wellness,Health Products
Natural Supplements Brand,Expense,Health & Wellness,Health Products
Nutraceutical Company,Expense,Health & Wellness,Health Products
Nutrigenomics & DNA Testing,Expense,Health & Wellness,Health Products
Nutrition MLM,Expense,Health & Wellness,Health Products
Nutritional Supplement Brand,Expense,Health & Wellness,Health Products
Online Eyeglasses,Expense,Health & Wellness,Health Products
Online Health Marketplace,Expense,Health & Wellness,Health Products
Online Health Products,Expense,Health & Wellness,Health Products
Online Therapy Platform,Expense,Health & Wellness,Health Products
Organic Supplements,Expense,Health & Wellness,Health Products
Personalized Vitamins,Expense,Health & Wellness,Health Products
Practitioner-Grade Supplements,Expense,Health & Wellness,Health Products
Prescription Eyewear,Expense,Health & Wellness,Health Products
Probiotic Supplement,Expense,Health & Wellness,Health Products
Smart Mattress & Sleep Tech,Expense,Health & Wellness,Health Products
Stress Relief Device,Expense,Health & Wellness,Health Products
Subscription Vitamins,Expense,Health & Wellness,Health Products
Supplement Brand,Expense,Health & Wellness,Health Products
Telehealth & Wellness,Expense,Health & Wellness,Health Products
Telehealth Platform,Expense,Health & Wellness,Health Products
Vitamins & Supplements,Expense,Health & Wellness,Health Products
Vitamins & Supplements Retailer,Expense,Health & Wellness,Health Products
Wearable Health Tracker,Expense,Health & Wellness,Health Products
Weight Loss App,Expense,Health & Wellness,Health Products
Weight Management,Expense,Health & Wellness,Health Products
Weight Management Program,Expense,Health & Wellness,Health Products
Whole Food Supplements,Expense,Health & Wellness,Health Products
Clinical Laboratory,Expense,Health & Wellness,Medical & Dental
Dental Practice,Expense,Health & Wellness,Medical & Dental
Hospital & Health System,Expense,Health & Wellness,Medical & Dental
Integrative Medicine Physician,Expense,Health & Wellness,Medical & Dental
Internal Medicine Practice,Expense,Health & Wellness,Medical & Dental
Medical Practice,Expense,Health & Wellness,Medical & Dental
Nephrology Practice,Expense,Health & Wellness,Medical & Dental
Ophthalmology Practice,Expense,Health & Wellness,Medical & Dental
Oral Surgery Practice,Expense,Health & Wellness,Medical & Dental
Orthodontics Practice,Expense,Health & Wellness,Medical & Dental
Pediatric Dentistry,Expense,Health & Wellness,Medical & Dental
Pediatrics Practice,Expense,Health & Wellness,Medical & Dental
Physical Therapy & Rehab,Expense,Health & Wellness,Medical & Dental
Walk-In Health Clinic,Expense,Health & Wellness,Medical & Dental
Digital Pharmacy,Expense,Health & Wellness,Pharmacy
Drugstore (Germany),Expense,Health & Wellness,Pharmacy
Drugstore (Japan),Expense,Health & Wellness,Pharmacy
Health & Beauty (Korea),Expense,Health & Wellness,Pharmacy
Online Pharmacy,Expense,Health & Wellness,Pharmacy
Online Pharmacy (Amazon),Expense,Health & Wellness,Pharmacy
Online Pharmacy (India),Expense,Health & Wellness,Pharmacy
Online Pharmacy (Sweden),Expense,Health & Wellness,Pharmacy
Pharmacy & Beauty (Asia),Expense,Health & Wellness,Pharmacy
Pharmacy & Beauty (UK),Expense,Health & Wellness,Pharmacy
Pharmacy & Drugstore Chain,Expense,Health & Wellness,Pharmacy
Pharmacy & Health/Beauty (UK),Expense,Health & Wellness,Pharmacy
Pharmacy & Health/Beauty Retailer,Expense,Health & Wellness,Pharmacy
Pharmacy (Asia),Expense,Health & Wellness,Pharmacy
Pharmacy (Brazil),Expense,Health & Wellness,Pharmacy
Pharmacy (In-Store),Expense,Health & Wellness,Pharmacy
Pharmacy (India),Expense,Health & Wellness,Pharmacy
Pharmacy (South Africa),Expense,Health & Wellness,Pharmacy
Pharmacy (Sweden),Expense,Health & Wellness,Pharmacy
Pharmacy (UK),Expense,Health & Wellness,Pharmacy
Pharmacy Benefit Manager,Expense,Health & Wellness,Pharmacy
Pharmacy Chain (Argentina),Expense,Health & Wellness,Pharmacy
Prescription Discount,Expense,Health & Wellness,Pharmacy
Air Conditioning,Expense,Housing & Utilities,Home Services
Car Wash,Expense,Housing & Utilities,Home Services
Cordless Vacuum,Expense,Housing & Utilities,Home Services
Dry Cleaning & Laundry,Expense,Housing & Utilities,Home Services
Electrical Contractor,Expense,Housing & Utilities,Home Services
General Contractor,Expense,Housing & Utilities,Home Services
Heating & Cooling,Expense,Housing & Utilities,Home Services
Home Security System,Expense,Housing & Utilities,Home Services
Home Service Marketplace,Expense,Housing & Utilities,Home Services
Pest Control Service,Expense,Housing & Utilities,Home Services
Plumbing Contractor,Expense,Housing & Utilities,Home Services
Plumbing Service,Expense,Housing & Utilities,Home Services
Robot Vacuum,Expense,Housing & Utilities,Home Services
Smart Home & HVAC,Expense,Housing & Utilities,Home Services
Smart Home Security,Expense,Housing & Utilities,Home Services
Smart Lighting Controls,Expense,Housing & Utilities,Home Services
Smart Lock,Expense,Housing & Utilities,Home Services
Smart Security (Amazon),Expense,Housing & Utilities,Home Services
Smart Sprinkler Controller,Expense,Housing & Utilities,Home Services
Smart Thermostat,Expense,Housing & Utilities,Home Services
Smart Vacuum & Mop,Expense,Housing & Utilities,Home Services
Vacuum & Floor Care,Expense,Housing & Utilities,Home Services
Auto Insurance Company,Expense,Housing & Utilities,Insurance
Property Insurance,Expense,Housing & Utilities,Insurance
Mobile Virtual Network Operator,Expense,Housing & Utilities,Telecom & Internet
Wireless Telecommunications,Expense,Housing & Utilities,Telecom & Internet
Auto & Home Insurance,Expense,Housing & Utilities,Utilities
Auto Insurance,Expense,Housing & Utilities,Utilities
Cable & Internet,Expense,Housing & Utilities,Utilities
Cable & Mobile (UK),Expense,Housing & Utilities,Utilities
Cable TV & Internet,Expense,Housing & Utilities,Utilities
Cable TV & Internet Provider,Expense,Housing & Utilities,Utilities
Carpet Cleaning,Expense,Housing & Utilities,Utilities
Digital Auto Insurance,Expense,Housing & Utilities,Utilities
Digital Insurance,Expense,Housing & Utilities,Utilities
Electric & Gas (NYC),Expense,Housing & Utilities,Utilities
Electric & Gas Utility,Expense,Housing & Utilities,Utilities
Electric Utility,Expense,Housing & Utilities,Utilities
Electrical Service,Expense,Housing & Utilities,Utilities
Fiber Internet,Expense,Housing & Utilities,Utilities
Gas Utility,Expense,Housing & Utilities,Utilities
Gig Economy Home Services,Expense,Housing & Utilities,Utilities
HVAC Service,Expense,Housing & Utilities,Utilities
Handyman Service,Expense,Housing & Utilities,Utilities
Home Cleaning & Handyman,Expense,Housing & Utilities,Utilities
Home Insurance,Expense,Housing & Utilities,Utilities
Home Service Marketplace,Expense,Housing & Utilities,Utilities
Home Service Platform,Expense,Housing & Utilities,Utilities
House Cleaning Service,Expense,Housing & Utilities,Utilities
Insurance,Expense,Housing & Utilities,Utilities
Insurance & Banking,Expense,Housing & Utilities,Utilities
Internet & Phone,Expense,Housing & Utilities,Utilities
Lawn Care Franchise,Expense,Housing & Utilities,Utilities
Lawn Care Service,Expense,Housing & Utilities,Utilities
Local Service Marketplace,Expense,Housing & Utilities,Utilities
MVNO,Expense,Housing & Utilities,Utilities
MVNO (AT&T),Expense,Housing & Utilities,Utilities
MVNO (Budget Wireless),Expense,Housing & Utilities,Utilities
MVNO (Google),Expense,Housing & Utilities,Utilities
MVNO (Seniors),Expense,Housing & Utilities,Utilities
MVNO (Verizon),Expense,Housing & Utilities,Utilities
Mobile (China),Expense,Housing & Utilities,Utilities
Mobile (Japan),Expense,Housing & Utilities,Utilities
Mobile (Korea),Expense,Housing & Utilities,Utilities
Mobile Operator (Germany/UK),Expense,Housing & Utilities,Utilities
Mobile Operator (UK),Expense,Housing & Utilities,Utilities
Natural Gas Utility,Expense,Housing & Utilities,Utilities
Pay-Per-Mile Insurance,Expense,Housing & Utilities,Utilities
Pest Control (UK/Global),Expense,Housing & Utilities,Utilities
Pest Control Service,Expense,Housing & Utilities,Utilities
Plumbing,Expense,Housing & Utilities,Utilities
Plumbing & Drain,Expense,Housing & Utilities,Utilities
Plumbing Service,Expense,Housing & Utilities,Utilities
Prepaid Wireless,Expense,Housing & Utilities,Utilities
Property & Casualty Insurance,Expense,Housing & Utilities,Utilities
Restoration & Cleaning,Expense,Housing & Utilities,Utilities
Satellite Internet,Expense,Housing & Utilities,Utilities
TV & Broadband (UK),Expense,Housing & Utilities,Utilities
Telecom & Internet,Expense,Housing & Utilities,Utilities
Telecom & Wireless,Expense,Housing & Utilities,Utilities
Telecom (Africa),Expense,Housing & Utilities,Utilities
Telecom (Australia),Expense,Housing & Utilities,Utilities
Telecom (France),Expense,Housing & Utilities,Utilities
Telecom (France/Global),Expense,Housing & Utilities,Utilities
Telecom (Germany),Expense,Housing & Utilities,Utilities
Telecom (India),Expense,Housing & Utilities,Utilities
Telecom (Kenya),Expense,Housing & Utilities,Utilities
Telecom (Latin America),Expense,Housing & Utilities,Utilities
Telecom (Netherlands),Expense,Housing & Utilities,Utilities
Telecom (Norway/Asia),Expense,Housing & Utilities,Utilities
Telecom (Scandinavia),Expense,Housing & Utilities,Utilities
Telecom (Singapore),Expense,Housing & Utilities,Utilities
Telecom (Spain),Expense,Housing & Utilities,Utilities
Telecom (Switzerland),Expense,Housing & Utilities,Utilities
Telecom (UK),Expense,Housing & Utilities,Utilities
Telecom (UK/Global),Expense,Housing & Utilities,Utilities
VoIP Telephone Service,Expense,Housing & Utilities,Utilities
Water & Gas,Expense,Housing & Utilities,Utilities
Water Utility,Expense,Housing & Utilities,Utilities
Wireless Carrier,Expense,Housing & Utilities,Utilities
Wireless Telecommunications,Expense,Housing & Utilities,Utilities
Preschool & Childcare,Expense,Kids & Family,Childcare
Age-Appropriate Toy Subscription,Expense,Kids & Family,Toys & Activities
Baby & Home Products,Expense,Kids & Family,Toys & Activities
Baby Carrier,Expense,Kids & Family,Toys & Activities
Baby Monitor,Expense,Kids & Family,Toys & Activities
Baby Products,Expense,Kids & Family,Toys & Activities
Baby Products Retailer,Expense,Kids & Family,Toys & Activities
Baby Registry,Expense,Kids & Family,Toys & Activities
Baby Skincare & Cleaning,Expense,Kids & Family,Toys & Activities
Baby Sound Machine,Expense,Kids & Family,Toys & Activities
Baby Sound Machine & Light,Expense,Kids & Family,Toys & Activities
Baby Tech Products,Expense,Kids & Family,Toys & Activities
Brain-Building Baby Food,Expense,Kids & Family,Toys & Activities
Budget Diapers,Expense,Kids & Family,Toys & Activities
Building Toy Retailer,Expense,Kids & Family,Toys & Activities
Character Merchandise,Expense,Kids & Family,Toys & Activities
Children's Art Supplies,Expense,Kids & Family,Toys & Activities
Children's Clothing Retailer,Expense,Kids & Family,Toys & Activities
Children's Outdoor Play,Expense,Kids & Family,Toys & Activities
Children's Toys & Furniture,Expense,Kids & Family,Toys & Activities
Custom Stuffed Animals,Expense,Kids & Family,Toys & Activities
Diapers,Expense,Kids & Family,Toys & Activities
Diapers & Baby Products,Expense,Kids & Family,Toys & Activities
Doll Brand (Mattel),Expense,Kids & Family,Toys & Activities
Educational Technology Toys,Expense,Kids & Family,Toys & Activities
Educational Toys,Expense,Kids & Family,Toys & Activities
Educational Toys & Games,Expense,Kids & Family,Toys & Activities
Electronic Learning Toys,Expense,Kids & Family,Toys & Activities
Hobby & Craft Store,Expense,Kids & Family,Toys & Activities
Hobby & Model Shop,Expense,Kids & Family,Toys & Activities
Infant/Toddler Toys,Expense,Kids & Family,Toys & Activities
Interactive Learning,Expense,Kids & Family,Toys & Activities
Kids Activity Subscription,Expense,Kids & Family,Toys & Activities
Kids Educational Subscription,Expense,Kids & Family,Toys & Activities
Kids Magazine & Activity,Expense,Kids & Family,Toys & Activities
Kids STEM Education Center,Expense,Kids & Family,Toys & Activities
Logic Games,Expense,Kids & Family,Toys & Activities
Magnetic Building Tiles,Expense,Kids & Family,Toys & Activities
Modeling Compound (Hasbro),Expense,Kids & Family,Toys & Activities
Organic Baby Food,Expense,Kids & Family,Toys & Activities
Premium Baby Gear,Expense,Kids & Family,Toys & Activities
Premium Diapers,Expense,Kids & Family,Toys & Activities
Premium Dolls & Accessories,Expense,Kids & Family,Toys & Activities
Premium Stroller,Expense,Kids & Family,Toys & Activities
Puzzles & Games (Germany),Expense,Kids & Family,Toys & Activities
Smart Baby Monitor,Expense,Kids & Family,Toys & Activities
Smart Bassinet (Happiest Baby),Expense,Kids & Family,Toys & Activities
Stroller Brand,Expense,Kids & Family,Toys & Activities
Sustainable Diapers,Expense,Kids & Family,Toys & Activities
Toy Animal Figures (Germany),Expense,Kids & Family,Toys & Activities
Toy Blaster Brand (Hasbro),Expense,Kids & Family,Toys & Activities
Toy Car Brand (Mattel),Expense,Kids & Family,Toys & Activities
Toy Figures (Germany),Expense,Kids & Family,Toys & Activities
Toy Store,Expense,Kids & Family,Toys & Activities
Toy Store Chain,Expense,Kids & Family,Toys & Activities
Wooden Toys,Expense,Kids & Family,Toys & Activities
Wooden Toys & Furniture,Expense,Kids & Family,Toys & Activities
Wooden Toys (Germany),Expense,Kids & Family,Toys & Activities
Motor Vehicle Administration,Expense,Personal Services,Gov & DMV
Municipal Government,Expense,Personal Services,Gov & DMV
State Government Services,Expense,Personal Services,Gov & DMV
Children's Portrait Studio,Expense,Personal Services,Photography
Photo Processing Lab,Expense,Personal Services,Photography
Portrait Photography Studio,Expense,Personal Services,Photography
Postal Service,Expense,Personal Services,Printing & Shipping
Print & Copy Shop,Expense,Personal Services,Printing & Shipping
Self-Publishing & Printing,Expense,Personal Services,Printing & Shipping
Shipping & Logistics,Expense,Personal Services,Printing & Shipping
Writing & Publishing Service,Expense,Personal Services,Printing & Shipping
Audiobook & Podcast Service,Expense,Shopping,Books & Media
Audiobook Service,Expense,Shopping,Books & Media
Book & Stationery (UK),Expense,Shopping,Books & Media
Book Community Platform,Expense,Shopping,Books & Media
Book Retailer,Expense,Shopping,Books & Media
Book Retailer (Germany),Expense,Shopping,Books & Media
Book Retailer (Japan),Expense,Shopping,Books & Media
Book Retailer (Korea),Expense,Shopping,Books & Media
Book Retailer (UK),Expense,Shopping,Books & Media
Books & Media (Japan),Expense,Shopping,Books & Media
Books (Malaysia),Expense,Shopping,Books & Media
Children's Book Fair,Expense,Shopping,Books & Media
Children's Book Publisher,Expense,Shopping,Books & Media
E-Book & Audiobook Subscription,Expense,Shopping,Books & Media
E-Book Store,Expense,Shopping,Books & Media
E-Book Subscription,Expense,Shopping,Books & Media
E-Reader & E-Books,Expense,Shopping,Books & Media
Educational Publisher,Expense,Shopping,Books & Media
Hi-Fi Music Streaming,Expense,Shopping,Books & Media
Independent Bookstore,Expense,Shopping,Books & Media
Indie Audiobook Service,Expense,Shopping,Books & Media
Indie Music Marketplace,Expense,Shopping,Books & Media
Music Marketplace,Expense,Shopping,Books & Media
Music Streaming,Expense,Shopping,Books & Media
Music Streaming & Sharing,Expense,Shopping,Books & Media
Online Indie Bookstore,Expense,Shopping,Books & Media
Online Used Books,Expense,Shopping,Books & Media
Used Book Retailer,Expense,Shopping,Books & Media
Vinyl Subscription,Expense,Shopping,Books & Media
Accessible Luxury,Expense,Shopping,Clothing & Apparel
Accessible Luxury Fashion,Expense,Shopping,Clothing & Apparel
Accessible Streetwear (FOG),Expense,Shopping,Clothing & Apparel
Athletic Apparel & Footwear,Expense,Shopping,Clothing & Apparel
Athletic Apparel (DTC),Expense,Shopping,Clothing & Apparel
Athletic Apparel (Yoga),Expense,Shopping,Clothing & Apparel
Athletic Apparel Brand,Expense,Shopping,Clothing & Apparel
Athletic Footwear,Expense,Shopping,Clothing & Apparel
Athletic Footwear & Apparel,Expense,Shopping,Clothing & Apparel
Athletic Footwear Retailer,Expense,Shopping,Clothing & Apparel
Athletic Performance Apparel,Expense,Shopping,Clothing & Apparel
Avant-Garde (Japan),Expense,Shopping,Clothing & Apparel
Avant-Garde Fashion,Expense,Shopping,Clothing & Apparel
Boots & Footwear (UK),Expense,Shopping,Clothing & Apparel
Cap & Headwear Brand,Expense,Shopping,Clothing & Apparel
Casual & Athletic Footwear,Expense,Shopping,Clothing & Apparel
Casual Apparel,Expense,Shopping,Clothing & Apparel
Casual Apparel Retailer,Expense,Shopping,Clothing & Apparel
Casual Athletic Apparel,Expense,Shopping,Clothing & Apparel
Casual Fashion (Japan),Expense,Shopping,Clothing & Apparel
Casual Footwear,Expense,Shopping,Clothing & Apparel
Casual Footwear Brand,Expense,Shopping,Clothing & Apparel
Children's Athletic Footwear,Expense,Shopping,Clothing & Apparel
Children's Clothing,Expense,Shopping,Clothing & Apparel
Comfort Sandals,Expense,Shopping,Clothing & Apparel
Contemporary Fashion (Denmark),Expense,Shopping,Clothing & Apparel
Contemporary Fashion (France),Expense,Shopping,Clothing & Apparel
Contemporary Fashion (UK),Expense,Shopping,Clothing & Apparel
Contemporary Luxury (Italy),Expense,Shopping,Clothing & Apparel
Contemporary Luxury (Sweden),Expense,Shopping,Clothing & Apparel
CrossFit Apparel,Expense,Shopping,Clothing & Apparel
CrossFit Training Shoes,Expense,Shopping,Clothing & Apparel
Crystal Jewelry & Accessories,Expense,Shopping,Clothing & Apparel
Cushioned Running Shoes,Expense,Shopping,Clothing & Apparel
DTC Bras & Intimates,Expense,Shopping,Clothing & Apparel
DTC Fine Jewelry,Expense,Shopping,Clothing & Apparel
DTC Kids Clothing,Expense,Shopping,Clothing & Apparel
Denim & Casual (J.Crew Group),Expense,Shopping,Clothing & Apparel
Denim & Casual Apparel,Expense,Shopping,Clothing & Apparel
Denim & Fashion (Italy),Expense,Shopping,Clothing & Apparel
Denim & Fashion (Netherlands),Expense,Shopping,Clothing & Apparel
Denim Apparel,Expense,Shopping,Clothing & Apparel
Department Store,Expense,Shopping,Clothing & Apparel
Designer Fashion,Expense,Shopping,Clothing & Apparel
Designer Fashion & Underwear,Expense,Shopping,Clothing & Apparel
Designer Fashion (France),Expense,Shopping,Clothing & Apparel
Designer Fashion (Spain),Expense,Shopping,Clothing & Apparel
Designer Fashion (UK),Expense,Shopping,Clothing & Apparel
Designer Fashion Brand,Expense,Shopping,Clothing & Apparel
Designer Jewelry,Expense,Shopping,Clothing & Apparel
Dress Shoes,Expense,Shopping,Clothing & Apparel
Ethical Jewelry,Expense,Shopping,Clothing & Apparel
Family Fashion (France),Expense,Shopping,Clothing & Apparel
Family Fashion (Italy),Expense,Shopping,Clothing & Apparel
Fashion & Beauty (Korea),Expense,Shopping,Clothing & Apparel
Fashion & Home (Finland),Expense,Shopping,Clothing & Apparel
Fashion & Lifestyle,Expense,Shopping,Clothing & Apparel
Fashion (Denmark),Expense,Shopping,Clothing & Apparel
Fashion (H&M Group),Expense,Shopping,Clothing & Apparel
Fashion (South Africa),Expense,Shopping,Clothing & Apparel
Fashion (Spain),Expense,Shopping,Clothing & Apparel
Fashion (Thailand),Expense,Shopping,Clothing & Apparel
Fashion Accessories,Expense,Shopping,Clothing & Apparel
Fashion Apparel,Expense,Shopping,Clothing & Apparel
Fashion Apparel & Accessories,Expense,Shopping,Clothing & Apparel
Fashion Apparel Retailer,Expense,Shopping,Clothing & Apparel
Fashion Brand (Germany),Expense,Shopping,Clothing & Apparel
Fashion Brand (Italy),Expense,Shopping,Clothing & Apparel
Fashion Brand (Spain),Expense,Shopping,Clothing & Apparel
Fashion Brand (UK),Expense,Shopping,Clothing & Apparel
Fashion Footwear,Expense,Shopping,Clothing & Apparel
Fashion Group (Korea),Expense,Shopping,Clothing & Apparel
Fashion House (Japan/France),Expense,Shopping,Clothing & Apparel
Fashion Jewelry,Expense,Shopping,Clothing & Apparel
Fashion Rental,Expense,Shopping,Clothing & Apparel
Fashion Retail (India),Expense,Shopping,Clothing & Apparel
Fashion Retail (Singapore),Expense,Shopping,Clothing & Apparel
Fashion Retailer,Expense,Shopping,Clothing & Apparel
Fashion Retailer (Japan),Expense,Shopping,Clothing & Apparel
Fashion Retailer (South Africa),Expense,Shopping,Clothing & Apparel
Fashion Retailer (UK),Expense,Shopping,Clothing & Apparel
Fashion Watches & Accessories,Expense,Shopping,Clothing & Apparel
Fast Fashion (Australia),Expense,Shopping,Clothing & Apparel
"Fast Fashion (Japan, Uniqlo Group)",Expense,Shopping,Clothing & Apparel
Fast Fashion (Korea),Expense,Shopping,Clothing & Apparel
Fast Fashion Retailer,Expense,Shopping,Clothing & Apparel
Fitness Apparel (UK),Expense,Shopping,Clothing & Apparel
Fitness Tracker,Expense,Shopping,Clothing & Apparel
Footwear (UK),Expense,Shopping,Clothing & Apparel
Footwear Manufacturer,Expense,Shopping,Clothing & Apparel
Footwear Retailer,Expense,Shopping,Clothing & Apparel
French Bohemian Fashion,Expense,Shopping,Clothing & Apparel
French Contemporary Fashion,Expense,Shopping,Clothing & Apparel
French Fashion,Expense,Shopping,Clothing & Apparel
GPS & Fitness Watches,Expense,Shopping,Clothing & Apparel
Hiking Footwear,Expense,Shopping,Clothing & Apparel
Indian Casual Fashion,Expense,Shopping,Clothing & Apparel
Indian Ethnic Fashion,Expense,Shopping,Clothing & Apparel
Indian Fashion,Expense,Shopping,Clothing & Apparel
Indian Women's Fashion,Expense,Shopping,Clothing & Apparel
Intimates & Loungewear,Expense,Shopping,Clothing & Apparel
Intimates & Sleepwear,Expense,Shopping,Clothing & Apparel
Italian Luxury Sneakers,Expense,Shopping,Clothing & Apparel
Japanese Designer Fashion,Expense,Shopping,Clothing & Apparel
Japanese Streetwear,Expense,Shopping,Clothing & Apparel
Jewelry Retailer,Expense,Shopping,Clothing & Apparel
Kids Clothing,Expense,Shopping,Clothing & Apparel
Legwear & Swimwear (Italy),Expense,Shopping,Clothing & Apparel
Lifestyle Brand (H&M Group),Expense,Shopping,Clothing & Apparel
Lingerie & Beauty,Expense,Shopping,Clothing & Apparel
Lingerie (Inclusive),Expense,Shopping,Clothing & Apparel
Lingerie (Italy),Expense,Shopping,Clothing & Apparel
Luxury Brand Merchandise,Expense,Shopping,Clothing & Apparel
Luxury Consignment,Expense,Shopping,Clothing & Apparel
Luxury Fashion,Expense,Shopping,Clothing & Apparel
Luxury Fashion (France),Expense,Shopping,Clothing & Apparel
Luxury Fashion (Italy),Expense,Shopping,Clothing & Apparel
Luxury Fashion (Spain),Expense,Shopping,Clothing & Apparel
Luxury Fashion (UK),Expense,Shopping,Clothing & Apparel
Luxury Fashion House,Expense,Shopping,Clothing & Apparel
Luxury Footwear,Expense,Shopping,Clothing & Apparel
Luxury Handbags & Accessories,Expense,Shopping,Clothing & Apparel
Luxury Italian Textiles,Expense,Shopping,Clothing & Apparel
Luxury Jewelry,Expense,Shopping,Clothing & Apparel
Luxury Jewelry & Accessories,Expense,Shopping,Clothing & Apparel
Luxury Jewelry & Watches,Expense,Shopping,Clothing & Apparel
Luxury Jewelry Retailer,Expense,Shopping,Clothing & Apparel
Luxury Knitwear (Italy),Expense,Shopping,Clothing & Apparel
Luxury Men's Fashion (Italy),Expense,Shopping,Clothing & Apparel
Luxury Men's Suiting (Italy),Expense,Shopping,Clothing & Apparel
Luxury Outerwear (Italy),Expense,Shopping,Clothing & Apparel
Luxury Resale,Expense,Shopping,Clothing & Apparel
Luxury Sneakers,Expense,Shopping,Clothing & Apparel
Luxury Sneakers (Italy),Expense,Shopping,Clothing & Apparel
Luxury Sneakers (NL),Expense,Shopping,Clothing & Apparel
Luxury Sneakers (Sweden),Expense,Shopping,Clothing & Apparel
Luxury Sportswear (Germany),Expense,Shopping,Clothing & Apparel
Luxury Streetwear,Expense,Shopping,Clothing & Apparel
Luxury Swiss Watch,Expense,Shopping,Clothing & Apparel
Luxury Watch Manufacturer,Expense,Shopping,Clothing & Apparel
Men's Athletic Apparel,Expense,Shopping,Clothing & Apparel
Men's Fashion,Expense,Shopping,Clothing & Apparel
Men's Fashion (France),Expense,Shopping,Clothing & Apparel
Men's Fashion (India),Expense,Shopping,Clothing & Apparel
Men's Fashion (Spain),Expense,Shopping,Clothing & Apparel
Men's Fashion DTC,Expense,Shopping,Clothing & Apparel
Men's Premium Fashion (India),Expense,Shopping,Clothing & Apparel
Men's Shirts DTC,Expense,Shopping,Clothing & Apparel
Men's Training Apparel,Expense,Shopping,Clothing & Apparel
Menswear Resale,Expense,Shopping,Clothing & Apparel
Minimalist Fashion (France),Expense,Shopping,Clothing & Apparel
Minimalist Fashion (H&M Group),Expense,Shopping,Clothing & Apparel
Minimalist Luxury,Expense,Shopping,Clothing & Apparel
NYC Streetwear & Lifestyle,Expense,Shopping,Clothing & Apparel
Off-Price Department Store,Expense,Shopping,Clothing & Apparel
Online Diamond Retailer,Expense,Shopping,Clothing & Apparel
Online Fashion Retailer,Expense,Shopping,Clothing & Apparel
Online Fast Fashion,Expense,Shopping,Clothing & Apparel
Online Shoe & Apparel Retailer,Expense,Shopping,Clothing & Apparel
Outdoor & Casual Apparel,Expense,Shopping,Clothing & Apparel
Outdoor & Fishing,Expense,Shopping,Clothing & Apparel
Outdoor & Hunting,Expense,Shopping,Clothing & Apparel
Outdoor & Sustainable Apparel,Expense,Shopping,Clothing & Apparel
